 -1.26618E+02  1.28407E-01  8.61910E+06  0.00000E+00  0.00000E+00  1.56192E+28  1.57857E+10  0.00000E+00
 -1.25613E+02  1.29164E-01  8.64323E+06  0.00000E+00  0.00000E+00  1.58170E+28  1.59419E+10  0.00000E+00
 -1.24613E+02  1.30376E-01  8.64323E+06  0.00000E+00  0.00000E+00  1.63366E+28  1.63308E+10  0.00000E+00
 -1.23613E+02  1.31523E-01  8.66306E+06  0.00000E+00  0.00000E+00  1.66808E+28  1.65981E+10  0.00000E+00
 -1.22608E+02  1.35655E-01  8.68540E+06  0.00000E+00  0.00000E+00  1.65020E+28  1.64766E+10  0.00000E+00
 -1.21603E+02  1.36831E-01  8.72939E+06  0.00000E+00  0.00000E+00  1.65810E+28  1.65470E+10  0.00000E+00
 -1.20598E+02  1.37390E-01  8.76439E+06  0.00000E+00  0.00000E+00  1.66003E+28  1.65732E+10  0.00000E+00
 -1.19593E+02  1.40266E-01  8.76439E+06  0.00000E+00  0.00000E+00  1.65514E+28  1.65481E+10  0.00000E+00
 -1.18588E+02  1.40902E-01  8.79487E+06  0.00000E+00  0.00000E+00  1.66751E+28  1.66527E+10  0.00000E+00
 -1.17583E+02  1.43089E-01  8.83718E+06  0.00000E+00  0.00000E+00  1.68337E+28  1.67846E+10  0.00000E+00
 -1.16578E+02  1.46272E-01  8.85159E+06  0.00000E+00  0.00000E+00  1.70451E+28  1.69586E+10  0.00000E+00
 -1.15573E+02  1.48613E-01  8.89147E+06  0.00000E+00  0.00000E+00  1.72962E+28  1.71656E+10  0.00000E+00
 -1.14568E+02  1.49406E-01  8.90353E+06  0.00000E+00  0.00000E+00  1.74536E+28  1.73019E+10  0.00000E+00
 -1.13563E+02  1.51104E-01  8.92456E+06  0.00000E+00  0.00000E+00  1.75776E+28  1.74106E+10  0.00000E+00
 -1.12563E+02  1.52747E-01  8.97351E+06  0.00000E+00  0.00000E+00  1.77649E+28  1.75548E+10  0.00000E+00
 -1.11563E+02  1.55322E-01  9.01097E+06  0.00000E+00  0.00000E+00  1.79365E+28  1.76892E+10  0.00000E+00
 -1.10563E+02  1.58439E-01  9.05416E+06  0.00000E+00  0.00000E+00  1.81710E+28  1.78701E+10  0.00000E+00
 -1.09563E+02  1.60898E-01  9.07240E+06  0.00000E+00  0.00000E+00  1.84586E+28  1.80919E+10  0.00000E+00
 -1.08563E+02  1.64781E-01  9.08344E+06  0.00000E+00  0.00000E+00  1.87603E+28  1.83273E+10  0.00000E+00
 -1.07563E+02  1.67427E-01  9.10645E+06  0.00000E+00  0.00000E+00  1.89865E+28  1.85097E+10  0.00000E+00
 -1.06563E+02  1.70220E-01  9.16637E+06  0.00000E+00  0.00000E+00  1.91179E+28  1.86228E+10  0.00000E+00
 -1.05563E+02  1.72386E-01  9.19056E+06  0.00000E+00  0.00000E+00  1.93154E+28  1.87868E+10  0.00000E+00
 -1.04563E+02  1.74189E-01  9.23088E+06  0.00000E+00  0.00000E+00  1.95442E+28  1.89767E+10  0.00000E+00
